"Name","Created","Runtime","End Time","ID","Notes","State","Updated","Tags","batch_size","dropout","embedding_dim","hidden_dim","lang","n_layers","train_accuracy","train_loss","val_accuracy","val_loss"
"comic-sweep-826","2022-01-26T17:57:35.000Z","15","2022-01-26T17:57:50.000Z","c6ch7pdl","-","failed","2022-01-26T17:57:50.000Z","","256","0.1","150","512","ar","3","","","",""
"comic-sweep-597","2022-01-26T11:47:18.000Z","52","2022-01-26T11:48:10.000Z","67uaimbz","-","finished","2022-01-26T11:48:10.000Z","","64","0.2","150","512","lt","3","0.8999684907047579","0.3013872512288996","0.80448135651873","0.6023509502410889"
"comfy-sweep-585","2022-01-26T11:17:41.000Z","53","2022-01-26T11:18:34.000Z","lok5zx86","-","finished","2022-01-26T11:18:34.000Z","","128","0.4","150","64","en","3","0.941041909026033","0.1984480724346881","0.910489899793224","0.3069887850433588"
"comfy-sweep-199","2022-01-25T23:25:04.000Z","14","2022-01-25T23:25:18.000Z","p8xj4tgq","-","finished","2022-01-25T23:25:18.000Z","","128","0.1","200","64","ta","3","0.34492020856375416","1.971127897500992","0.3578780680918448","1.9559974670410156"
"colorful-sweep-658","2022-01-26T13:01:09.000Z","82","2022-01-26T13:02:31.000Z","zuqlxmx7","-","finished","2022-01-26T13:02:31.000Z","","128","0.4","150","256","ar","3","0.9727034841246296","0.08087573702238043","0.94473339702084","0.1587041031037058"
"colorful-sweep-228","2022-01-26T00:48:20.000Z","17","2022-01-26T00:48:37.000Z","evhbbux9","-","finished","2022-01-26T00:48:37.000Z","","256","0.2","150","64","af","4","0.29757479199858383","2.0822291374206543","0.31860071468873424","2.052156686782837"
"clear-sweep-716","2022-01-26T14:48:35.000Z","29","2022-01-26T14:49:04.000Z","sd6jou6c","-","finished","2022-01-26T14:49:04.000Z","","64","0.4","250","64","lt","3","0.8683751706753492","0.4288686731377164","0.7982524439830435","0.6272005766630173"
"clear-sweep-549","2022-01-26T10:09:28.000Z","134","2022-01-26T10:11:42.000Z","hebyl56x","-","finished","2022-01-26T10:11:42.000Z","","256","0.1","50","64","cs","4","0.9697977386882278","0.09710919308516146","0.9404098237155342","0.18260070238564463"
"clear-sweep-52","2022-01-25T19:47:31.000Z","53","2022-01-25T19:48:24.000Z","jxms7d1w","-","finished","2022-01-25T19:48:24.000Z","","256","0.4","250","512","lt","3","0.6020376010923222","1.1634135007858275","0.6090492257115667","1.1380811134974165"
"clear-sweep-457","2022-01-26T07:21:08.000Z","66","2022-01-26T07:22:14.000Z","8kkt1s3q","-","finished","2022-01-26T07:22:14.000Z","","128","0.4","250","512","lt","4","0.5747295452158386","1.2285343785034983","0.5751362574617181","1.191021466255188"
"clear-sweep-357","2022-01-26T04:28:27.000Z","38","2022-01-26T04:29:05.000Z","k1q8s8w0","-","finished","2022-01-26T04:29:05.000Z","","128","0.2","250","256","hy","4","0.8718441990262439","0.3979092575609684","0.832431423773092","0.5228975713253021"
"clean-sweep-690","2022-01-26T14:16:54.000Z","204","2022-01-26T14:20:18.000Z","p333rczw","-","finished","2022-01-26T14:20:18.000Z","","64","0.4","50","64","cs","4","0.9618527019380884","0.12196520297573164","0.941941640299332","0.1710372127335647"
"clean-sweep-681","2022-01-26T13:42:12.000Z","539","2022-01-26T13:51:11.000Z","jo0wusug","-","finished","2022-01-26T13:51:11.000Z","","128","0.1","150","512","cs","4","0.985562693499528","0.04375416259926099","0.9411631761337954","0.20862552523612976"
"clean-sweep-307","2022-01-26T02:56:25.000Z","74","2022-01-26T02:57:39.000Z","imo025vz","-","finished","2022-01-26T02:57:39.000Z","","256","0.1","200","64","ar","3","0.9697945123598092","0.1072603976726532","0.9332696458266992","0.21301867067813873"
"clean-sweep-118","2022-01-25T21:14:53.000Z","15","2022-01-25T21:15:08.000Z","k4vxv9y0","-","failed","2022-01-25T21:15:08.000Z","","256","0.2","250","512","ar","4","","","",""
